date,n_games
2020-03-06,11
2020-03-07,9
2020-03-08,3
2020-03-10,6
2020-03-13,9
2020-03-14,8
2020-03-16,4
2020-03-18,9
2020-03-20,9
2020-03-24,4
2020-03-27,7
2020-04-01,4
2020-04-03,10
2020-04-08,7
2020-04-10,9
2020-04-15,9
2020-04-17,8
2020-04-22,7
2020-04-24,6
2020-04-29,8
2020-05-01,8
2020-05-06,7
2020-05-08,7
2020-05-13,9
2020-05-15,8
2020-05-20,8
2020-05-22,6
2020-05-27,3
2020-05-29,6
2020-06-03,6
2020-06-05,10
2020-06-12,9
2020-06-20,9
2020-06-27,9
2020-07-04,8
2020-07-10,9
2020-07-11,2
2020-07-17,10
2020-07-24,7
2020-07-31,8
2020-08-02,4
2020-08-07,7
2020-08-08,7
2020-08-14,9
2020-08-21,8
2020-08-28,8
2020-09-03,6
2020-09-04,7
2020-09-06,5
2020-09-11,7
2020-09-18,7
2020-09-19,3
2020-09-25,6
2020-10-02,8
2020-10-09,9
2020-10-16,4
2020-10-17,6
2020-10-23,6
2020-10-24,6
2020-10-30,5
2020-10-31,8
2020-11-03,8
2020-11-06,9
2020-11-13,7
2020-11-20,8
2020-11-26,9
2020-11-27,7
2020-12-04,7
2020-12-11,8
2020-12-18,8
2020-12-24,7
2020-12-25,7
2020-12-26,6
2021-01-02,6
2021-01-08,7
2021-01-09,4
2021-01-15,8
2021-01-22,8
2021-01-29,6
2021-01-30,7
2021-02-05,6
2021-02-12,7
2021-02-20,9
2021-02-26,5
2021-03-05,7
2021-03-12,9
2021-03-13,5
2021-03-19,9
2021-03-20,7
2021-03-26,8
2021-03-27,7
2021-04-02,4
2021-04-09,8
2021-04-10,6
2021-04-17,8
2021-04-24,7
2021-04-30,8
2021-05-01,6
2021-05-07,8
2021-05-14,7
2021-05-16,2
2021-05-20,5
2021-05-29,6
2021-05-30,2
2021-06-04,7
2021-06-05,6
2021-06-11,7
2021-06-12,6
2021-06-18,6
2021-06-20,6
2021-06-24,8
2021-06-25,6
2021-06-27,5
2021-07-01,7
2021-07-03,8
2021-07-04,1
2021-07-10,9
2021-07-17,7
2021-07-24,8
2021-07-29,3
2021-07-30,8
2021-07-31,4
2021-08-01,3
2021-08-05,7
2021-08-14,1
2021-08-21,8
2021-08-28,9
2021-09-04,9
2021-09-11,6
2021-09-18,9
2021-09-25,4
2021-09-26,7
2021-10-02,7
2021-10-07,6
2021-10-09,11
2021-10-15,2
2021-10-16,8
2021-10-23,9
2021-10-30,3
2021-11-06,10
2021-11-13,8
2021-11-20,9
2021-11-25,11
2021-11-27,3
2021-12-04,13
2021-12-11,10
2021-12-16,9
2021-12-17,9
2021-12-18,3
2021-12-19,13
2021-12-23,7
2021-12-25,7
2022-01-01,8
2022-01-08,9
2022-01-15,11
2022-01-22,6
2022-01-29,9
2022-02-05,9
2022-02-12,8
2022-02-19,9
2022-02-20,3
2022-02-26,7
2022-03-05,7
2022-03-12,9
2022-03-17,3
2022-03-18,11
2022-03-19,13
2022-03-26,10
2022-04-02,11
2022-04-08,3
2022-04-09,9
2022-04-11,8
2022-04-16,9
2022-04-23,6
2022-04-30,8
2022-05-07,6
2022-05-14,7
2022-05-21,6
2022-05-28,11
2022-05-29,2
2022-06-04,8
2022-06-09,7
2022-06-11,7
2022-06-16,5
2022-06-18,6
2022-06-25,4
2022-06-30,8
2022-07-02,8
2022-07-03,2
2022-07-09,7
2022-07-14,6
2022-07-16,8
2022-07-21,4
2022-07-23,8
2022-07-28,5
2022-07-30,9
2022-08-04,5
2022-08-06,6
2022-08-11,1
2022-08-12,1
2022-08-13,6
2022-08-14,7
2022-08-20,8
2022-08-25,4
2022-08-27,8
2022-09-01,7
2022-09-03,5
2022-09-08,7
2022-09-10,8
2022-09-17,10
2022-09-24,10
2022-09-29,5
2022-10-01,12
2022-10-08,8
2022-10-13,4
2022-10-15,5
2022-10-20,3
2022-10-22,10
2022-10-27,5
2022-10-29,8
2022-11-03,7
2022-11-05,10
2022-11-10,5
2022-11-12,9
2022-11-17,2
2022-11-19,6
2022-11-24,6
2022-11-26,10
2022-12-01,9
2022-12-03,6
2022-12-08,2
2022-12-10,8
2022-12-11,1
2022-12-14,8
2022-12-15,10
2022-12-17,5
2022-12-24,7
2022-12-29,5
2022-12-31,4
2023-01-05,6
2023-01-07,6
2023-01-12,6
2023-01-14,7
2023-01-19,7
2023-01-21,6
2023-01-26,7
2023-01-28,8
2023-02-02,7
2023-02-04,8
2023-02-09,5
2023-02-11,14
2023-02-12,2
2023-02-16,6
2023-02-18,9
2023-02-23,7
2023-02-25,7
2023-03-02,7
2023-03-04,9
2023-03-09,8
2023-03-11,8
2023-03-16,7
2023-03-18,7
2023-03-23,9
2023-03-25,8
2023-03-30,9
2023-04-01,8
2023-04-06,8
2023-04-07,11
2023-04-08,6
2023-04-13,6
2023-04-15,4
2023-04-16,4
2023-04-20,5
2023-04-22,10
2023-04-27,6
2023-04-29,10
2023-05-04,8
2023-05-06,9
2023-05-07,3
2023-05-11,8
2023-05-13,10
2023-05-18,7
2023-05-20,8
2023-05-25,6
2023-05-27,7
2023-05-28,2
2023-06-01,7
2023-06-03,9
2023-06-08,4
2023-06-10,12
2023-06-15,8
2023-06-17,5
2023-06-18,4
2023-06-22,8
2023-06-24,8
2023-06-29,8
2023-07-01,6
2023-07-06,10
2023-07-07,9
2023-07-08,1
2023-07-09,8
2023-07-13,6
2023-07-15,5
2023-07-20,7
2023-07-22,8
2023-07-27,7
2023-07-29,11
2023-08-05,10
2023-08-12,8
